name,absolute_magnitude_h,diameter_min_km,diameter_max_km,is_hazardous,close_approach_date,velocity_kmph,miss_distance_km
456537 (2007 BG),19.63,0.3151773333,0.7047579421,False,2025-08-01,68281.0787383794,74405700.85709482
(2002 CC14),24.8,0.0291443905,0.0651688382,False,2025-08-01,65772.6923778743,70596275.45578372
(2005 OX),20.6,0.2016299194,0.4508582062,True,2025-08-01,88153.5618690898,25239051.346720207
(2007 PS25),25.5,0.0211132445,0.0472106499,False,2025-08-01,42153.7100274608,16400660.830912529
(2012 BA62),26.65,0.0124324001,0.0277996916,False,2025-08-01,57818.3431160617,56495772.71194786
(2013 UR5),23.07,0.0646479826,0.1445572836,False,2025-08-01,23475.471025242,54785275.15430395
(2016 PD1),23.83,0.0455569852,0.1018685158,False,2025-08-01,44265.3288985616,43505511.472863995
(2019 WJ),22.31,0.0917392059,0.2051351006,False,2025-08-01,33361.5517191649,71719079.96526152
(2019 YA5),26.0,0.0167708462,0.0375007522,False,2025-08-01,20382.4879123397,46236004.5879571
(2021 CL),28.52,0.0052547853,0.0117500571,False,2025-08-01,20903.6487902417,52461680.705878206
(2022 ED1),24.47,0.0339277435,0.0758647409,False,2025-08-01,59175.6865083702,63081876.38427994
(2022 PK20),21.2,0.1529519353,0.3420109247,False,2025-08-01,31592.3597182627,26253519.591988225
(2025 DG55),20.27,0.2347226375,0.5248557734,False,2025-08-01,41027.8959546664,17405816.78829049
(2025 KT),22.3,0.0921626549,0.2060819612,False,2025-08-01,23938.4931642978,28543416.686362654
(2025 NJ1),23.81,0.0459785188,0.1028110936,False,2025-08-01,21771.1352644683,26349739.62551097
(2025 OG2),22.3,0.0921626549,0.2060819612,False,2025-08-01,130182.1391849558,10894323.378124768
(2025 OQ4),25.14,0.0249203981,0.0557237043,False,2025-08-01,31969.0892495674,13592815.788449366
(2025 OY10),27.885,0.0070397134,0.0157412776,False,2025-08-01,28240.4092869407,920233.255801878
(2025 OG11),26.749,0.0118783188,0.0265607283,False,2025-08-01,28564.8618548764,16975493.623385143
35107 (1991 VH),16.87,1.1234531767,2.5121176727,True,2025-08-02,31213.720404213,11689292.682576159
450300 (2004 QD14),20.67,0.1952337862,0.4365560173,True,2025-08-02,55126.4111450989,28523351.423255295
(2011 YJ28),21.32,0.1447288051,0.3236234466,True,2025-08-02,73808.2712603178,64275747.96029272
(2014 OL339),22.78,0.0738847787,0.1652113876,False,2025-08-02,31482.229169409,52468074.68339966
(2015 OF22),22.11,0.100590039,0.2249261651,False,2025-08-02,30133.6735193405,52719033.30828793
